name,address,latitude,longitude
南港行政中心,站牌代碼 1651,25.054411,121.606693
南港軟體園區�,站牌代碼 1678,25.056395,121.614007
捷運台北101/世�,站牌代碼 2029,25.034555,121.563623
信義行政中心(�,站牌代碼 2121,25.034535,121.568236
捷運台北101/世�,站牌代碼 6928,25.033055,121.564589
信義行政中心(�,站牌代碼 6929,25.033035,121.566698
東明里,站牌代碼 50016,25.0538,121.59858
南港輪胎,站牌代碼 50018,25.05341,121.600632
南港高工(南港�,站牌代碼 50019,25.054961,121.610621
五分社區,站牌代碼 986,25.068687,121.614356
捷運昆陽站,站牌代碼 1697,25.050403,121.593144
陸軍後勤指揮�,站牌代碼 1719,25.049624,121.59105
五分埔商圈(中�,站牌代碼 2038,25.04799,121.58003
市立工農,站牌代碼 2055,25.040854,121.572616
捷運永春站(忠�,站牌代碼 3927,25.040967,121.575743
南港軟體園區�,站牌代碼 1680,25.059622,121.61428
南寮(忠三街口),站牌代碼 50446,25.079071,121.623544
康樂街,站牌代碼 1000203,25.071123,121.619135
南港高工(南港�,站牌代碼 1000253,25.054968,121.609776
土地公廟,站牌代碼 1000254,25.05449,121.59551
台肥新村,站牌代碼 1000271,25.053655,121.603022
南港行政中心,站牌代碼 1000272,25.054376,121.607082
南港高中,站牌代碼 1000314,25.052895,121.595016
富泰里,站牌代碼 1579,25.057202,121.565616
民權大橋,站牌代碼 1017,25.066877,121.579478
捷運港墘站(內�,站牌代碼 997,25.080149,121.574618
西湖圖書館(湖�,站牌代碼 1041,25.078683,121.578396
時報廣場,站牌代碼 1077,25.068085,121.582121
捷運文德站(碧�,站牌代碼 1109,25.078585,121.584249
植福宮,站牌代碼 1212,25.081615,121.548805
新益里,站牌代碼 1503,25.062287,121.566151
新益里,站牌代碼 1504,25.062445,121.566273
民生國中,站牌代碼 1507,25.059668,121.56792
南港花園社區�,站牌代碼 1672,25.039653,121.591138
松山商職(福德),站牌代碼 2096,25.03622,121.578747
松山商職(福德),站牌代碼 2097,25.036373,121.578738
福德國小,站牌代碼 2167,25.03916,121.587323
臺北漁市,站牌代碼 4175,25.068066,121.537162
自強隧道,站牌代碼 4182,25.083661,121.549098
福德國小,站牌代碼 6734,25.038972,121.586343
奉天宮,站牌代碼 6937,25.037702,121.583314
文湖國小,站牌代碼 8670,25.084381,121.561536
合江街口,站牌代碼 10401,25.058151,121.538313
松山車站(松山),站牌代碼 2093,25.047157,121.577664
西湖圖書館(湖�,站牌代碼 3754,25.078885,121.578588
臺北大學(臺北�,站牌代碼 10419,25.057974,121.542529
恕德家商,站牌代碼 50515,25.082118,121.569461
民生國中,站牌代碼 1000026,25.060173,121.567688
捷運劍南路站,站牌代碼 1000117,25.084891,121.554879
南松山(塔悠),站牌代碼 1000221,25.053006,121.569865
永吉國小,站牌代碼 15115,25.043559,121.577919
捷運永春站(松�,站牌代碼 15116,25.041983,121.577961
內湖基湖路口,站牌代碼 1001,25.08199,121.565227
瑞光港墘路口,站牌代碼 1013,25.077397,121.572469
敬業三路一,站牌代碼 1371,25.083262,121.556253
捷運善導寺站,站牌代碼 1997,25.044844,121.522629
永春公寓,站牌代碼 2058,25.040078,121.577716
瑞光港墘路口,站牌代碼 1000895,25.077273,121.573134
信義松德路口,站牌代碼 20270,25.034527,121.574428
新湖一路口,站牌代碼 1000213,25.060544,121.578826
工程營產中心,站牌代碼 1607,25.052378,121.610969
金德橋頭,站牌代碼 3884,25.042614,121.619686
市民大道八段,站牌代碼 4854,25.052739,121.602599
敬業四路,站牌代碼 1000227,25.081622,121.558539
廣安宮,站牌代碼 2170,25.023282,121.563115
黃石公廟,站牌代碼 1118,25.07817,121.60718
十八份,站牌代碼 20299,25.150358,121.523109
竹子湖路7號,站牌代碼 1000685,25.166354,121.541404
市政府(松壽),站牌代碼 2067,25.03592,121.564611
吳興街口,站牌代碼 2080,25.031596,121.558846
喬治商職,站牌代碼 2159,25.026201,121.554806
和平安和路口,站牌代碼 2251,25.024532,121.550915
國立臺北教育�,站牌代碼 2304,25.024949,121.544657
市立工農,站牌代碼 3928,25.041086,121.57243
龍門國中(和平),站牌代碼 3942,25.025732,121.539299
康寧社區,站牌代碼 3999,25.074319,121.606308
成功路三段,站牌代碼 8520,25.079618,121.58994
東湖國小,站牌代碼 8531,25.068176,121.616673
康寧醫院,站牌代碼 8629,25.075362,121.607272
世貿中心(基隆�,站牌代碼 15120,25.033677,121.560156
石潭公園(成功),站牌代碼 50433,25.061041,121.591015
石潭公園(成功),站牌代碼 50434,25.061289,121.591281
永吉國小,站牌代碼 2056,25.042826,121.577711
湖光市場,站牌代碼 8537,25.0817,121.592009
捷運永春站(松�,站牌代碼 2060,25.041936,121.577654
阿波羅大廈,站牌代碼 2272,25.041266,121.553658
聯合報,站牌代碼 2348,25.041134,121.562106
觀光局,站牌代碼 2361,25.041249,121.556359
觀光局,站牌代碼 3930,25.041518,121.556231
永春國小,站牌代碼 4091,25.044863,121.577691
臺北車站(忠孝),站牌代碼 1000657,25.047565,121.514221
啟智學校,站牌代碼 789,25.11733,121.534693
天母棒球場(忠�,站牌代碼 3951,25.114211,121.532191
中央電台,站牌代碼 1195,25.077885,121.530004
大龍街口,站牌代碼 1405,25.063104,121.516539
忠烈祠,站牌代碼 9436,25.078002,121.535552
川瀨,站牌代碼 609,25.11603,121.56755
外雙溪(至善),站牌代碼 659,25.09824,121.547006
平等里,站牌代碼 673,25.131333,121.576488
十八份福德宮,站牌代碼 2,25.147648,121.52224
風架口,站牌代碼 20424,25.17529,121.5372
彌陀寺(硫磺谷),站牌代碼 1001473,25.14381,121.52138
北投站,站牌代碼 1000351,25.144595,121.492071
礦寮,站牌代碼 962,25.14404,121.559176
吉林國小,站牌代碼 1001356,25.052832,121.530202
忠泰美術館,站牌代碼 1001122,25.044874,121.537667
葫蘆國小,站牌代碼 4034,25.08367,121.50817
格致國中,站牌代碼 776,25.130895,121.546905
龍江路口,站牌代碼 1001380,25.052906,121.540622
頂北投,站牌代碼 14603,25.151216,121.532346
興隆市場後站,站牌代碼 1001185,25.000619,121.546905
臺北車站(開封),站牌代碼 1892,25.046027,121.513879
故宮博物院,站牌代碼 9447,25.100152,121.549397
建安新村,站牌代碼 5973,25.106038,121.48105
南昌路,站牌代碼 1945,25.031262,121.517135
安泰公園,站牌代碼 1807,25.074097,121.618342
胡適國小,站牌代碼 2785,25.043561,121.61884
黎順里,站牌代碼 2174,25.025145,121.556441
樂業街,站牌代碼 20296,25.01936,121.553918
石壁坑福德宮,站牌代碼 143,25.003605,121.584967
大油坑,站牌代碼 20271,25.179675,121.579656
石壁坑,站牌代碼 2400,25.002441,121.582927
士林分局,站牌代碼 571,25.09049,121.525833
紅柿下,站牌代碼 1001472,25.151126,121.526794
陽明山(紗帽),站牌代碼 14608,25.151223,121.546557
指南山莊,站牌代碼 2421,24.989082,121.578333
大南路口,站牌代碼 1001155,25.089552,121.522286
南深路80號,站牌代碼 1000726,25.019362,121.622188
新安路四,站牌代碼 874,25.12494,121.556507
貓空站(小天空�,站牌代碼 56097,24.96784,121.59534
舊莊二站,站牌代碼 1001308,25.037448,121.624514
工業區,站牌代碼 600,25.104142,121.495782
麗山橋,站牌代碼 1001259,25.024835,121.599504
行義路四,站牌代碼 188,25.140303,121.52774
新安路三,站牌代碼 60146,25.124771,121.554741
三元南海路口,站牌代碼 1851,25.029148,121.509164
東方寺,站牌代碼 726,25.12356,121.55887
八德中坡路口,站牌代碼 1535,25.051204,121.580172
臺北郵局(撫臺�,站牌代碼 4747,25.04605,121.51032
明德路,站牌代碼 7247,25.110103,121.520607
成功中學(林森),站牌代碼 1914,25.042942,121.522911
東方寺,站牌代碼 55013,25.12353,121.55896
市立工農(正門),站牌代碼 20399,25.040249,121.57183
慈航寺,站牌代碼 3995,25.144825,121.496652
大我新舍,站牌代碼 2194,25.013757,121.562437
興華路,站牌代碼 1715,25.055813,121.605788
下菁礐,站牌代碼 4815,25.135178,121.569618
市民光復路口,站牌代碼 1500,25.045438,121.559101
懷生國小,站牌代碼 1398,25.044357,121.542371
中崙,站牌代碼 20356,25.047318,121.542732
明勝里,站牌代碼 1297,25.079871,121.5205
義方國小,站牌代碼 5067,25.1419,121.50977
福安消防隊,站牌代碼 5979,25.097292,121.49455
興隆路口(辛亥),站牌代碼 1000751,25.001712,121.555281
內雙溪自然中�,站牌代碼 1001325,25.117197,121.577745
