id,host_id,latitude,longitude,neighbourhood_cleansed,room_type,Y_vacancy,Y_high_risk,accommodates,bedrooms,beds,bathrooms_count,is_shared_bath,price,minimum_nights,maximum_nights,min_nights_avg_ntm,instant_bookable,self_checkin,room_type_code,neighbourhood_code,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price_pctl_nbhd,score_pctl_nbhd,amenities_vs_median,nbr_density_1km,nbr_density_same_type_1km,host_acceptance_rate,host_response_rate,response_speed,host_is_superhost,host_listings_count,calculated_host_listings_count,host_tenure_days,desc_len,host_about_len,neighborhood_overview_len,amenities_count,hotel_count_1km,hotel_count_500m,airbnb_hotel_supply_ratio,price_per_person,price_per_bedroom,beds_per_person,dist_to_nearest_mrt_m,mrt_count_500m,bus_stops_count_300m,bus_stops_count_500m,conv_stores_count_200m,conv_stores_count_500m,restaurants_count_500m,dist_to_nearest_park_m,park_count_500m,dist_to_nearest_clinic_m,dist_to_nearest_school_m,avg_review_sentiment,avg_review_length,has_no_reviews
9372986,46263118,25.04048,121.52743,中正區,Entire home/apt,0.2602739726027397,0,2,1.0,1.0,1.0,False,1879.0,14,90,13.5,0,0,0,1,4.71,4.78,4.7,4.88,4.88,4.76,4.68,0.316079295154185,0.2390300230946882,1.5714285714285714,155,91,1.0,1.0,4.0,0,2,2,3642,462,219,236,44,24,7,6.2,939.5,1879.0,0.5,495.4071743361487,1,9,24,1,16,234,166.0643401248731,3,130.27525499940955,422.1808902268356,0.42578333333333335,194.1,0
9413296,32658574,25.04634,121.51768,中正區,Entire home/apt,0.0164383561643835,0,2,1.0,1.0,1.0,False,1270.0,3,1125,3.0,0,0,0,1,4.76,4.83,4.68,4.89,4.91,4.93,4.71,0.0958149779735682,0.3083140877598152,0.5357142857142857,888,617,0.99,1.0,4.0,0,3,3,3801,362,115,676,15,156,58,5.656050955414012,635.0,1270.0,0.5,20.35196939966279,10,11,30,12,33,412,162.05534181747,6,222.61508504195797,491.756949262968,0.17592333333333335,156.46666666666667,0
9419095,34359544,25.04576,121.50526,萬華區,Private room,0.6986301369863014,0,5,1.0,3.0,1.0,False,2515.0,1,1125,1.0,0,1,2,11,4.4,4.8,4.6,4.79,4.71,4.86,4.64,0.7848101265822784,0.1418439716312056,1.0434782608695652,1684,234,0.7,1.0,4.0,0,2,2,3779,262,18,152,24,145,79,11.534246575342468,503.0,2515.0,0.6,425.7334642727044,3,8,21,12,28,473,74.25235305057961,1,136.92108161693548,316.4335092941805,0.17152666666666666,87.0,0
9438346,48916973,25.04571,121.5158,中正區,Entire home/apt,0.5726027397260274,0,4,1.0,2.0,1.0,False,1989.0,4,100,4.0,1,1,0,1,4.82,4.87,4.76,4.91,4.91,4.96,4.78,0.3502202643171806,0.4688221709006928,1.3214285714285714,1234,924,1.0,1.0,4.0,1,1,1,3609,370,30,180,37,169,64,7.258823529411765,497.25,1989.0,0.5,115.24393742615774,10,19,33,17,36,429,176.30845282564076,7,173.1577201799791,649.8565527145264,0.3485533333333333,155.86666666666667,0
9457310,35512293,25.04221,121.50663,萬華區,Entire home/apt,0.1835616438356164,0,4,1.0,2.0,1.0,False,1779.0,3,1125,3.0,0,1,0,11,4.33,4.4,4.13,4.8,4.87,4.73,4.33,0.4670195439739413,0.0407124681933842,0.9629629629629628,1692,1411,1.0,1.0,4.0,1,2,2,3765,408,81,1000,26,144,80,11.66896551724138,444.75,1779.0,0.5,94.64344451461476,6,14,40,9,40,596,217.12842148390624,3,206.88975503664545,298.3920060068305,0.16738666666666666,96.6,0
9466812,30591050,25.04184,121.50649,萬華區,Entire home/apt,0.736986301369863,1,6,4.0,4.0,2.0,False,4463.0,10,1124,8.3,0,0,0,11,4.77,4.81,4.73,4.83,4.85,4.96,4.63,0.9275244299674268,0.414334181509754,1.7777777777777777,1677,1394,0.98,1.0,4.0,1,18,14,3832,487,704,343,48,144,76,11.565517241379313,743.8333333333334,1115.75,0.6666666666666666,113.31786948213356,6,15,39,9,39,573,181.22648048415928,3,193.114324111755,303.6567262788907,0.6796266666666667,182.3,0
9468976,15706026,25.044,121.55127,大安區,Entire home/apt,0.9616438356164384,1,3,1.0,2.0,1.0,False,1466.0,1,1124,1.0,0,1,0,8,4.69,4.77,4.73,4.85,4.88,4.96,4.67,0.1309707241910631,0.2278688524590164,1.121212121212121,461,390,0.97,1.0,4.0,1,16,16,4152,1000,0,571,37,27,10,16.464285714285715,488.6666666666667,1466.0,0.6666666666666666,266.75169068201893,8,8,16,4,33,856,279.39975623295646,4,186.2537460456004,592.5695170539497,0.3738,231.96666666666667,0
9471108,39528362,25.04624,121.51583,中正區,Entire home/apt,0.1863013698630137,0,4,1.0,2.0,1.0,False,4056.0,2,180,2.0,0,1,0,1,4.81,4.86,4.81,4.92,4.9,4.96,4.72,0.788546255506608,0.4445727482678984,1.3214285714285714,1225,906,0.61,1.0,2.0,0,19,9,3720,558,106,0,37,170,68,7.16374269005848,1014.0,4056.0,0.5,70.96157301553332,10,13,34,15,37,436,160.16710172595566,8,221.1709235426836,601.9836782723986,0.38262,210.4,0
9535176,17148416,25.02264,121.52747,大安區,Entire home/apt,0.8301369863013699,1,1,0.0,1.0,1.0,False,18000.0,31,1125,31.0,1,0,0,8,4.87,4.8,4.8,4.93,4.87,4.87,4.53,0.9984591679506932,0.5737704918032787,0.8484848484848485,444,215,1.0,1.0,4.0,1,11,11,4117,208,4356,306,28,14,5,29.6,18000.0,,1.0,166.88372038854527,5,7,22,4,16,235,75.57736420646273,5,174.81848100777955,222.08888188916,0.92296,536.0,0
9622276,12719269,25.0214044,121.5323447,大安區,Private room,0.2164383561643835,0,2,1.0,1.0,1.0,False,1820.0,4,365,4.0,0,0,2,8,,,,,,,,0.8536036036036037,,0.238095238095238,392,197,1.0,1.0,3.0,0,2,2,4230,225,0,0,5,11,5,32.666666666666664,910.0,1820.0,0.5,354.2919459901465,4,4,17,1,13,239,79.14941787212707,7,250.98477131171143,119.26482680505671,0.0,0.0,1
