listing_id,cal_start,n_days,booked_mask,booked_rate,booked_days,booked_rate_d30,booked_rate_d60,booked_rate_d90,gap_count_90d,gap_days_90d,gap_longest_90d,gap_first_start,gap_count_30d,gap_days_30d,gap_longest_30d,gap_first_start_30d,min_nights_median,min_nights_varies,is_longterm_only,is_all_blocked,is_all_open,m1_rate,m2_rate,m3_rate,m4_rate,m5_rate,m6_rate,m7_rate,m8_rate,m9_rate,m10_rate,m11_rate,m12_rate
1466670590414528350,2026-06-30,365,11111111111011111000000111111111110000000000000000000000000000000000001110000000000000000000000001111001111111000000000000000000000000001110000000000000000001111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.13972602739726028,51,0.7741935483870968,0.4426229508196721,0.32967032967032966,3,60,36,2026-07-17,1,6,6,2026-07-17,3.0,0,0,0,0,1.0,0.7742,0.0645,0.1,0.3548,0.1,0.2258,0.0,0.0,0.0,0.0,0.0
1466687615711464846,2026-07-01,365,10011111011011011100111100111111111001111000111110111111111100001111110011111001111111100000011100111001111111111101010001111100011111111111011100000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.7863013698630137,287,0.7,0.75,0.7111111111111111,0,0,0,,0,0,0,,2.0,0,0,0,0,,0.7097,0.7419,0.6333,0.6774,0.5667,0.129,1.0,1.0,1.0,1.0,1.0
1467133846471617171,2026-07-01,365,11111011111111111111111111011011101111101111111111011110111011110111110001000001111111111000000100001110011101100011100000000111110111111011011111111111111111111111111111111001111011111111101110001000010111111111100100000110000000000011100000000000000111100000000001110000000000000000111111000001110000000001000000000000000000000000000111111111111111111111111111111,0.5753424657534246,210,0.9,0.8666666666666667,0.8,1,5,5,2026-09-13,0,0,0,,1.0,0,0,0,0,,0.9032,0.8387,0.6,0.3871,0.8333,0.9032,0.6452,0.2143,0.2258,0.3,0.0323
1467139511596114595,2026-07-01,365,01111001011110011111001111111111001001001000110000111000010000000000000000000000000000010000000000000100000000000001100000111000000000010000001100000000000000000000100000010000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111100000000000000000000000000000000000000000111111111111111111111111111111,0.2219178082191781,81,0.7333333333333333,0.55,0.37777777777777777,1,29,29,2026-08-28,0,0,0,,1.0,0,0,0,0,,0.7419,0.3226,0.0333,0.129,0.1667,0.129,0.0,0.0,0.0,0.1333,0.0
1467217643652362099,2026-06-30,365,11100011111100000000000000000000000000111000000000011111111100111100000000000000000011111111111111111100000000000000000000000111100000000000000000000000000000000000000000000011000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.6383561643835617,233,0.2903225806451613,0.3442622950819672,0.3516483516483517,3,54,26,2026-07-12,1,19,19,2026-07-12,2.0,1,0,0,0,1.0,0.2581,0.4194,0.4,0.2903,0.1333,0.1935,1.0,1.0,1.0,1.0,1.0
1467398064267511860,2026-07-01,365,11111100111100111111100000001111100000111111110000000000000000011110000011100001111000111100000000000000000000000000000000000000000111100000000000000000011111111000000001111111111111111111000000000000000000000000000000011111111100000000000000000000000000011111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.2493150684931507,91,0.6333333333333333,0.5,0.5,4,34,17,2026-07-22,1,7,7,2026-07-22,2.0,0,0,0,0,,0.6452,0.3226,0.5,0.0,0.1333,0.7419,0.129,0.3214,0.1935,0.0,0.0
1467804622576362936,2026-06-30,365,11111111001101111111100000111110000001111110111000000111100001100111111100000000010000111100111100000111000000000000000000111000011111111100000010000000001111100000010000001000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.7150684931506849,261,0.7419354838709677,0.5901639344262295,0.5494505494505495,4,26,9,2026-07-21,1,5,5,2026-07-21,1.0,1,0,0,0,1.0,0.7097,0.4839,0.4333,0.2581,0.3667,0.3548,1.0,1.0,1.0,1.0,1.0
1467809364806955976,2026-06-30,365,10001000000110000001000000000000000000000010000000000000000000000000000000000000000000000000000000000011000000000000000000011111000000000000000000000000000000000000010000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.5424657534246575,198,0.16129032258064516,0.09836065573770492,0.06593406593406594,4,82,48,2026-07-05,3,23,11,2026-07-05,1.0,1,0,0,0,1.0,0.129,0.0323,0.0,0.0968,0.1333,0.1613,1.0,1.0,1.0,1.0,1.0
1467812865990075908,2026-06-30,365,11011000000100000010000011111100110000000010000000000000000000000011000000010000000000000000000000000010000000000000000000011111000000000000011110000000000000000000110000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.5863013698630137,214,0.3870967741935484,0.2459016393442623,0.1978021978021978,7,70,23,2026-07-05,3,17,6,2026-07-05,1.0,1,0,0,0,1.0,0.3548,0.0968,0.1,0.0645,0.2667,0.1935,1.0,1.0,1.0,1.0,1.0
1467814583279615616,2026-06-30,365,11111110000110000000000000000000110000000000000000000000000000000000000000000000000000000000000000000010000000000001110000011111000000000000000000000000000000000000010000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.5616438356164384,205,0.2903225806451613,0.18032786885245902,0.12087912087912088,2,76,57,2026-07-13,1,18,18,2026-07-13,1.0,1,0,0,0,1.0,0.2581,0.0645,0.0,0.1613,0.1333,0.1613,1.0,1.0,1.0,1.0,1.0
