飯店名稱,住宿評等,評論分數,館內熱門設施,住客評論(前3則),行政區,地址,緯度,經度,房型名稱,房間設施,價格,可住宿人數,房型圖片網址,飯店連結
苓旅萬年-LIN INN Wan Nian,N/A,7.7,禁菸客房、免費無線網路、客房服務、機場接駁車、家庭房、24 小時接待櫃檯、電梯、行李寄存、每日清潔服務,「位置方便」 | 「很乾淨，房間很大」 | 「乾淨房間很大」,萬華區,台北萬華區Floor,25.043513,121.505894,標準房,N/A,"3,480",1,#RD843005901,https://www.booking.com/hotel/tw/ling-lu-lin-inn-tai-bei-shi.zh-tw.html
冨粧商旅,評分為 2 顆星，滿分為 5,8.2,禁菸客房、免費無線網路、機場接駁車、家庭房、24 小時接待櫃檯、洗衣、電梯、行李寄存、每日清潔服務,「服務人員都很親切」 | 「待客，很滿意，我們這團真的很吵，要求也很多，但是客服都有回應，而且親切，很喜歡，」 | 「服務人員態度親切！位置好房間也很乾淨😻」,萬華區,台北萬華區康定路6號2樓,25.045865140287123,121.50314971804619,標準房,N/A,"4,200",4,#RD46986301,https://www.booking.com/hotel/tw/fuchang.zh-tw.html
皇后旅店,評分為 3 顆星，滿分為 5,6.8,禁菸客房、免費無線網路、客房服務、家庭房、24 小時接待櫃檯、行李寄存、每日清潔服務,N/A,大同區,台北大同區長安西路226號2F,25.05138516311912,121.51462331403309,標準房,N/A,"3,780",4,#RD71167004,https://www.booking.com/hotel/tw/queens-hotel-taipei.zh-tw.html
皇后旅店,評分為 3 顆星，滿分為 5,6.8,禁菸客房、免費無線網路、客房服務、家庭房、24 小時接待櫃檯、行李寄存、每日清潔服務,N/A,大同區,台北大同區長安西路226號2F,25.05138516311912,121.51462331403309,標準房,N/A,"2,340",2,#RD71167002,https://www.booking.com/hotel/tw/queens-hotel-taipei.zh-tw.html
豪贊旅店,N/A,6.9,禁菸客房、免費無線網路、24 小時接待櫃檯、電梯、每日清潔服務,N/A,萬華區,台北萬華區昆明街34號2樓,25.047064,121.505814,標準房,N/A,"3,960",4,#RD437131103,https://www.booking.com/hotel/tw/hao-zan-lu-dian.zh-tw.html
大地清旅,評分為 3 顆星，滿分為 5,8.0,禁菸客房、免費無線網路、客房服務、機場接駁車、餐廳、24 小時接待櫃檯、洗衣、電梯、行李寄存、早餐評價還不錯,「舒適整潔」 | 「地點離出差位置很近，走路就可以到。 設備有些有點老舊，但整體環境簡單乾淨，櫃檯人員專業親切」 | 「乾淨清潔，沒什麼噪音，旁邊滿多吃的」,中山區,台北中山區長安東路二段246號4樓,25.048153419813925,121.54330777423979,標準房,N/A,"5,702",4,#RD105768508,https://www.booking.com/hotel/tw/horizon-inn-taipei.zh-tw.html
大地清旅,評分為 3 顆星，滿分為 5,8.0,禁菸客房、免費無線網路、客房服務、機場接駁車、餐廳、24 小時接待櫃檯、洗衣、電梯、行李寄存、早餐評價還不錯,「舒適整潔」 | 「地點離出差位置很近，走路就可以到。 設備有些有點老舊，但整體環境簡單乾淨，櫃檯人員專業親切」 | 「乾淨清潔，沒什麼噪音，旁邊滿多吃的」,中山區,台北中山區長安東路二段246號4樓,25.048153419813925,121.54330777423979,標準房,N/A,"5,999",4,N/A,https://www.booking.com/hotel/tw/horizon-inn-taipei.zh-tw.html
千彩格精品旅店,評分為 3 顆星，滿分為 5,8.0,禁菸客房、免費無線網路、家庭房、24 小時接待櫃檯、電梯、行李寄存,「寵物友善」 | 「櫃檯人員態度親切，有問題能隨時解答」 | 「因為是帶著貓貓入住，服務人員非常有耐心解釋注意事項，並給予相關協助，住宿空間也很足夠，大推！！！」,中山區,台北中山區林森北路286號,25.05577156158259,121.52528967609214,標準房,N/A,"5,168",4,#RD118262314,https://www.booking.com/hotel/tw/king-garden-hotel.zh-tw.html
千彩格精品旅店,評分為 3 顆星，滿分為 5,8.0,禁菸客房、免費無線網路、家庭房、24 小時接待櫃檯、電梯、行李寄存,「寵物友善」 | 「櫃檯人員態度親切，有問題能隨時解答」 | 「因為是帶著貓貓入住，服務人員非常有耐心解釋注意事項，並給予相關協助，住宿空間也很足夠，大推！！！」,中山區,台北中山區林森北路286號,25.05577156158259,121.52528967609214,標準房,N/A,"3,052",2,#RD118262318,https://www.booking.com/hotel/tw/king-garden-hotel.zh-tw.html
千彩格精品旅店,評分為 3 顆星，滿分為 5,8.0,禁菸客房、免費無線網路、家庭房、24 小時接待櫃檯、電梯、行李寄存,「寵物友善」 | 「櫃檯人員態度親切，有問題能隨時解答」 | 「因為是帶著貓貓入住，服務人員非常有耐心解釋注意事項，並給予相關協助，住宿空間也很足夠，大推！！！」,中山區,台北中山區林森北路286號,25.05577156158259,121.52528967609214,標準房,N/A,"3,876",2,#RD118262307,https://www.booking.com/hotel/tw/king-garden-hotel.zh-tw.html
千彩格精品旅店,評分為 3 顆星，滿分為 5,8.0,禁菸客房、免費無線網路、家庭房、24 小時接待櫃檯、電梯、行李寄存,「寵物友善」 | 「櫃檯人員態度親切，有問題能隨時解答」 | 「因為是帶著貓貓入住，服務人員非常有耐心解釋注意事項，並給予相關協助，住宿空間也很足夠，大推！！！」,中山區,台北中山區林森北路286號,25.05577156158259,121.52528967609214,標準房,N/A,"4,028",2,#RD118262313,https://www.booking.com/hotel/tw/king-garden-hotel.zh-tw.html
千彩格精品旅店,評分為 3 顆星，滿分為 5,8.0,禁菸客房、免費無線網路、家庭房、24 小時接待櫃檯、電梯、行李寄存,「寵物友善」 | 「櫃檯人員態度親切，有問題能隨時解答」 | 「因為是帶著貓貓入住，服務人員非常有耐心解釋注意事項，並給予相關協助，住宿空間也很足夠，大推！！！」,中山區,台北中山區林森北路286號,25.05577156158259,121.52528967609214,標準房,N/A,"4,104",2,#RD118262322,https://www.booking.com/hotel/tw/king-garden-hotel.zh-tw.html
