公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,緯度,經度,定位方式,比對地址,定位分數
22555003,統一超商股份有限公司,54912911,台北市第九六六分公司,臺北市內湖區洲子街70號1樓,1,1080618,       ,25.079564156513,121.571943574386,門牌級(arcgis),"台北市內湖區港墘里洲子街70號, 11493",100
22555003,統一超商股份有限公司,54912953,台北市第九六五分公司,臺北市中正區南昌路1段67、69號1樓,1,1080618,       ,25.030981377391,121.51747125992,門牌級(arcgis),"台北市中正區南昌路一段67號, 100035",98.5
22555003,統一超商股份有限公司,54913313,台北市第九六七分公司,臺北市內湖區五分街62號1樓,1,1080702,       ,25.06719908913,121.615888216354,門牌級(arcgis),"台北市內湖區五分里五分街62號, 11480",100
22555003,統一超商股份有限公司,54913524,台北市第九七０分公司,臺北市信義區松仁路246號、248號1樓,1,1080710,       ,25.024493082904,121.569424477205,門牌級(arcgis),"台北市信義區六合里松仁路246號, 11046",95.44
22555003,統一超商股份有限公司,54913539,台北市第九六九分公司,臺北市士林區大東路15-6號1樓、15-7號1樓,3,1080710,       ,25.088067614735,121.525062091639,門牌級(arcgis),"台北市士林區士林夜市大東路15-61號, 111040",96.63
22555003,統一超商股份有限公司,54913572,台北市第九七一分公司,臺北市大安區信義路3段65號1樓,1,1080711,       ,25.033723360409,121.536632460326,門牌級(arcgis),台北市大安區民炤里信義路三段65號,100
22555003,統一超商股份有限公司,54913587,台北市第九六八分公司,臺北市萬華區峨嵋街74號1樓,3,1080711,       ,25.0348867,121.4998912,門牌級(arcgis),台北市萬華區,76.37
22555003,統一超商股份有限公司,54913593,台北市第九七二分公司,臺北市中山區敬業三路11號1樓,1,1080711,       ,25.083571753969,121.555910250897,門牌級(arcgis),"台北市中山區成功里敬業三路11號, 10466",100
22555003,統一超商股份有限公司,54913876,台北市第九七三分公司,臺北市信義區忠孝東路5段71巷6號1樓,1,1080719,       ,25.041736417935,121.567245936751,門牌級(arcgis),"台北市信義區興雅里忠孝東路五段71巷6號一層F, 11064",100
22555003,統一超商股份有限公司,54914018,台北市第九七四分公司,臺北市士林區文林路126號1樓,1,1080723,       ,25.088413266972,121.52648633417,門牌級(arcgis),"台北市士林區仁勇里文林路126號, 11163",100
