id,host_id,latitude,longitude,neighbourhood_cleansed,room_type,Y_vacancy,Y_high_risk,accommodates,bedrooms,beds,bathrooms_count,is_shared_bath,price,minimum_nights,maximum_nights,min_nights_avg_ntm,instant_bookable,self_checkin,room_type_code,neighbourhood_code,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price_pctl_nbhd,score_pctl_nbhd,amenities_vs_median,nbr_density_1km,nbr_density_same_type_1km,host_acceptance_rate,host_response_rate,response_speed,host_is_superhost,host_listings_count,calculated_host_listings_count,host_tenure_days,desc_len,host_about_len,neighborhood_overview_len,amenities_count,hotel_count_1km,hotel_count_500m,airbnb_hotel_supply_ratio,price_per_person,price_per_bedroom,beds_per_person
1307376659631623435,28103867,25.04426338581128,121.51341815006316,中正區,Entire home/apt,0.21643835616438356,0,3,1.0,2.0,1.0,False,1895.0,4,365,4.0,0,1,0,1,4.4,4.4,4.4,4.8,5.0,5.0,4.6,0.32158590308370044,0.07621247113163972,0.8214285714285714,1853,1503,1.0,1.0,4.0,0,47,47,3874,544,189,0,23,177,69,10.410112359550562,631.6666666666666,1895.0,0.6666666666666666
1307378749619293065,79891592,25.02884420896205,121.52379887684162,大安區,Entire home/apt,0.6219178082191781,0,3,1.0,2.0,1.0,False,2092.0,25,120,26.1,0,1,0,8,5.0,5.0,5.0,4.91,4.91,5.0,4.91,0.2896764252696456,0.8868852459016393,0.8181818181818182,469,213,0.92,0.98,4.0,1,7,6,3384,1000,95,0,27,15,3,29.3125,697.3333333333334,2092.0,0.6666666666666666
1307603804807530818,269896524,25.044681913422696,121.50678372968837,萬華區,Entire home/apt,0.0821917808219178,0,6,1.0,3.0,1.0,False,3680.0,3,365,3.1,0,0,0,11,,,,,,,,0.885586319218241,,1.2222222222222223,1824,1495,0.0,,0.0,0,7,4,2295,508,0,0,33,157,92,11.544303797468354,613.3333333333334,3680.0,0.5
1307739953600803745,357062477,25.028655512988543,121.55678917900715,大安區,Entire home/apt,1.0,1,6,1.0,2.0,1.0,False,3496.0,30,365,30.0,0,0,0,8,5.0,5.0,4.8,5.0,5.0,5.0,5.0,0.6302003081664098,0.8868852459016393,1.5757575757575757,454,306,0.52,1.0,4.0,1,57,55,1900,454,232,0,52,16,5,26.705882352941178,582.6666666666666,3496.0,0.3333333333333333
1308001387385362923,531605794,25.046646,121.514125,中正區,Entire home/apt,0.5835616438356165,0,5,1.0,3.0,1.0,False,2027.0,2,30,2.0,0,1,0,1,4.69,4.77,4.49,4.89,4.91,4.89,4.74,0.3590308370044053,0.21247113163972287,0.9642857142857143,1577,1240,1.0,1.0,4.0,1,4,4,779,824,0,0,27,181,78,8.664835164835164,405.4,2027.0,0.6
1308167790461480324,28103867,25.044104883649453,121.51379276813783,中正區,Entire home/apt,0.22465753424657534,0,2,1.0,1.0,1.0,False,1709.0,4,365,4.0,0,1,0,1,4.8,5.0,4.78,5.0,5.0,4.78,4.67,0.2621145374449339,0.41916859122401845,0.8928571428571429,1776,1440,1.0,1.0,4.0,0,47,47,3874,619,189,0,25,176,66,10.033898305084746,854.5,1709.0,0.5
1308449631825545222,28103867,25.043705831422724,121.50578054162192,萬華區,Entire home/apt,0.20273972602739726,0,3,1.0,2.0,1.0,False,1780.0,4,365,4.0,0,1,0,11,4.7,4.9,4.0,4.9,5.0,4.9,4.4,0.46824104234527686,0.2811704834605598,0.9259259259259259,1677,1394,1.0,1.0,4.0,0,47,47,3874,710,189,0,25,143,89,11.645833333333334,593.3333333333334,1780.0,0.6666666666666666
1308685528732244137,540100951,25.0393071,121.50401,萬華區,Entire home/apt,0.7698630136986301,1,14,3.0,6.0,1.0,False,3430.0,3,365,3.0,0,0,0,11,4.86,4.95,4.82,4.91,5.0,4.95,5.0,0.8697068403908795,0.640373197625106,1.1851851851851851,1480,1270,0.54,0.93,4.0,0,13,13,728,1000,14,0,32,107,31,13.703703703703704,245.0,1143.3333333333333,0.42857142857142855
1309016813655620293,490924018,25.04843,121.57154,信義區,Entire home/apt,0.6547945205479452,0,3,1.0,2.0,1.0,False,2500.0,1,365,5.6,0,0,0,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.4295942720763723,0.8759590792838875,0.6764705882352942,273,197,1.0,1.0,4.0,0,5,5,1025,1000,0,0,23,21,11,12.409090909090908,833.3333333333334,2500.0,0.6666666666666666
1309142433330222886,507753881,25.03011431904161,121.52883397906812,大安區,Private room,0.0,0,4,1.0,,1.0,False,,1,365,1.0,1,1,2,8,5.0,5.0,5.0,5.0,5.0,5.0,4.88,,0.79,0.7619047619047619,461,221,0.99,1.0,4.0,0,36,36,915,947,343,0,16,22,6,20.043478260869566,,,
1309250857916481782,24847626,25.0647149,121.5234977,中山區,Private room,0.0,0,2,1.0,,1.0,False,,2,365,2.2,0,0,2,0,,,,,,,,,,0.8260869565217391,397,57,0.91,1.0,4.0,0,17,16,3942,529,332,0,19,40,16,9.682926829268293,,,
1309251989007373872,453709970,25.04555747947257,121.50615026598678,萬華區,Private room,0.1178082191780822,0,2,0.0,1.0,1.0,False,918.0,2,365,2.0,1,0,2,11,4.5,4.5,4.25,4.88,4.88,5.0,4.63,0.2120253164556962,0.21631205673758866,1.0,1778,240,0.99,0.94,4.0,0,46,31,1269,49,914,0,23,154,87,11.470967741935484,459.0,,0.5
1309409289330122483,23097622,25.02671,121.53084,大安區,Entire home/apt,0.9561643835616438,1,10,4.0,7.0,2.0,False,6112.0,1,365,9.5,0,0,0,8,4.82,4.82,4.64,4.91,4.91,4.64,4.27,0.926040061633282,0.4680327868852459,1.0,484,237,0.52,0.97,3.0,1,22,13,3989,324,25,312,33,19,5,24.2,611.2,1528.0,0.7
1309850167293840627,467909945,25.016525503521127,121.52866913693408,中正區,Entire home/apt,0.2465753424657534,0,3,1.0,2.0,1.0,False,1239.0,31,365,31.0,0,1,0,1,,,,,,,,0.08370044052863436,,1.5,307,143,0.64,0.75,2.0,0,6,6,1182,1000,0,0,42,10,4,27.90909090909091,413.0,1239.0,0.6666666666666666
1309930624623287283,507753881,25.03017,121.5269,大安區,Private room,0.0,0,2,1.0,,1.0,False,,1,365,1.0,0,1,2,8,4.67,4.67,4.33,4.67,4.67,4.67,4.33,,0.222,0.7619047619047619,475,230,0.99,1.0,4.0,0,36,36,915,968,343,0,16,19,4,23.75,,,
1309971685200139732,507753881,25.02977,121.52656,大安區,Private room,0.2273972602739726,0,2,1.0,2.0,1.0,False,2090.0,30,365,30.0,0,1,2,8,5.0,5.0,5.0,5.0,5.0,5.0,4.5,0.8963963963963963,0.79,0.6190476190476191,476,234,0.99,1.0,4.0,0,36,36,915,849,343,0,13,21,2,21.636363636363637,1045.0,2090.0,1.0
1309987545351051968,507753881,25.03112,121.52701,大安區,Private room,0.2273972602739726,0,4,1.0,2.0,1.0,False,3266.0,30,365,30.0,0,1,2,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.9594594594594594,0.79,0.5714285714285714,451,217,0.99,1.0,4.0,0,36,36,915,979,343,0,12,20,5,21.476190476190474,816.5,3266.0,0.5
