id,host_id,name,neighbourhood_cleansed,room_type,price,availability_90,unmatched_reason
940486327348920442,27387698,A big master room with a private bathroom,大安區,Private room,"$2,339.42",88,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
945177969312159803,515756856,Taipower MRT#Taipei 101#NTU/NTNU#Monthly promo~,大安區,Entire home/apt,"$8,844.50",42,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
947382745275372545,96270014,Cozy 2BR/2BA • 5 min walk to MRT • Elevator,大同區,Entire home/apt,"$3,080.34",51,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
983532986319936586,14943860,萬隆站明亮簡約宅｜4F單人雅房｜近文山景美運動公園,文山區,Private room,"$1,310.50",78,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1009711914231502906,6534092,陽光度假式共享客棧～個人獨立臥房,內湖區,Private room,"$1,255.33",77,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1011981049013630388,6534092,陽光渡假式共享客棧～獨立個人臥室,內湖區,Private room,"$1,255.33",82,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1066291327059144072,6534092,內湖陽光共享公寓-個人臥室,內湖區,Private room,"$1,285.00",89,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1111372097854706999,8066785,Cozy room in Taipei/MRT Shipai,北投區,Private room,"$1,655.00",83,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1145291901477382037,114396377,Lovely stay near Taipei Arena with two fluffy cats,松山區,Private room,"$3,218.00",88,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1199237946245765641,27387698,在寬敞電梯公寓裡有著明亮大窗戶的雙人房,大安區,Private room,"$1,680.00",0,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1285384799015824869,543442185,台北小巨蛋,松山區,Entire home/apt,"$2,611.40",82,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1322346117938188429,40024069,Room in Taipei City,大安區,Entire home/apt,"$2,336.00",89,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1327589980246381881,10593483,Boho Stay with Private Lounge near Taipei 101,信義區,Private room,"$2,636.58",89,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1328916778249986911,671394928,Sky Tower 『台北101』『MRT』『GYM』『夜市』『24hrs 超市與超商』『象山』,信義區,Entire home/apt,"$3,884.74",60,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1390356484535493046,212752369,東區X忠孝復興捷運X SOGO百貨,大安區,Entire home/apt,"$2,333.50",61,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1425135375905596471,696185143,月租短租2房1廳可料理晴光夜市5分鐘電梯有管理預訂有折扣、捷運8分鐘安靜舒適,中山區,Entire home/apt,"$1,829.93",40,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1428238476332337970,21444823,昆陽一樓靜宅 ｜藍線昆陽捷運站五分 | 獨立出入口,南港區,Entire home/apt,"$5,966.00",59,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1434825055797018803,1748952,Cozy Pad - A sweet cozy corner to call home,中正區,Entire home/apt,"$1,590.00",34,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1441861773756075907,27387698,大安區寬敞公寓裡的溫馨雙人床雅房,大安區,Private room,"$1,064.33",71,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1456181478854857929,27387698,溫馨舒適雙人房位於科技大樓步行5分鐘距離的寬敞電梯華廈裡,大安區,Private room,"$1,600.33",31,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1459038190460794975,294910823,3BR Apt in Nangang｜10 Min to Taipei 101｜Long Stay,南港區,Entire home/apt,"$7,556.14",58,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1488100966456201445,29156706,Garden View Hotel in Ximending,萬華區,Private room,"$2,175.20",90,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1497517729493582996,533597390,老闆的秘密基地 森林公園第一排空中花園閣樓,大安區,Entire home/apt,"$7,988.33",57,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1498420448671169868,29156706,Graffiti Street View Double Room Ximending,萬華區,Private room,"$2,338.00",89,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1499964469691933358,8562393,Stay a While • near MRT •  Private Room | 其途,中山區,Private room,"$1,369.67",53,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1505551941770178517,717863172,9.6台北西門町/三床露臺房,萬華區,Entire home/apt,"$4,261.87",34,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1514307977398509002,24674764,Freshly Renovated – 5 Min to KunYang MRT station!,南港區,Entire home/apt,"$3,515.00",76,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1517883686272140241,720766734,Nest • by Cing,大安區,Entire home/apt,"$3,309.50",55,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1520791307973873005,717279466,鄰近台北101/臨江夜市/交通美食都方便,大安區,Private room,"$1,837.50",46,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1521475424215287349,665947786,Bright room natural light near metro,中山區,Private room,"$1,791.80",61,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1521729681913363110,93940882,*𝙻𝚢𝚔𝚔𝚎 𝚏𝚕𝚊𝚝* 中山商圈/誠品/赤峰街/寧夏夜市/迪化街/台北車站,大同區,Entire home/apt,"$4,084.33",51,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1522247926760375549,721753066,#Dongmen MRT#Taipei101#NTU/NTNU#Monthly promo,大安區,Entire home/apt,"$8,672.00",47,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1522287738979434994,721753066,Guting MRT#Taipei101#NTU/NTNU#Monthly promo,大安區,Entire home/apt,"$8,445.00",52,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1522807418123351196,721753066,Dongmen MRT#Ximen#Free Airport Transport,中正區,Entire home/apt,"$7,536.00",71,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1522821801582700212,721753066,Sogo Dep/ DAAN/East district/ free airport pick up,大安區,Entire home/apt,"$7,644.00",60,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1522841458019325479,721753066,Sogo MRT/ DAAN/ East district/free airport pick up,大安區,Entire home/apt,"$8,582.00",59,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1523333658689906864,717279466,鄰近台北101/臨江夜市/獨立衛浴,大安區,Private room,"$2,054.50",86,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1528249761800624699,597100626,[有窗]Simple Stay for 2 | MRT Ximen Station,萬華區,Entire home/apt,"$1,100.00",73,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1528256052475029438,597100626,[有窗] Stylish Six‑Guest｜MRT  Ximen  Near Yajiang St,萬華區,Entire home/apt,"$1,900.00",28,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1528265522219655584,597100626,[有窗]Great location double room | Near Ximen MRT,萬華區,Entire home/apt,"$1,100.00",65,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1528270717490050725,597100626,[有窗]Wooden Cabin Double Room | Near Ximen MRT 810,萬華區,Entire home/apt,"$1,100.00",79,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1528281728199771921,597100626,[有窗]Romantic WoodStyle 2 person  | Near MRT Ximen,萬華區,Entire home/apt,$990.00,84,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1529491076737291401,597100626,[有窗]Stylish Six‑Pax Space｜Near  MRT Ximen,中正區,Entire home/apt,"$2,000.00",40,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1529503290922424525,597100626,[有窗]Textured Double Room | Near MRT Ximen 812,萬華區,Entire home/apt,"$1,100.00",78,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
