osm_type,osm_id,name,tourism_type,latitude,longitude
node,4298897646,101艾美琪hotel,hotel,25.0433862,121.5428785
node,4307626647,趣旅館,hotel,25.0613312,121.5270015
node,4309145399,杜萊根國際青年旅舍,hostel,25.0515062,121.5698139
node,4316596021,台北日記旅館 中華二館,hotel,25.0446856,121.5084145
node,4316596069,儷夏商旅 中華館,hotel,25.044768,121.5084343
node,4325606042,虹都快捷Hotel,hotel,25.0709643,121.4947549
node,4329453091,Shihlin Stay Plus,hostel,25.0912266,121.524609
node,4329768669,六福居,hotel,25.0519586,121.5241676
node,4330538196,第二青年客棧,hostel,25.0250596,121.5306778
node,4331632719,台北市1983 第一青年旅社,hostel,25.0228712,121.5298739
node,4332324289,花豹屋花園,hostel,25.0408581,121.5047654
node,4335016699,天晴HOTEL,hotel,25.042616,121.5139648
node,4344542412,天閣酒店,hotel,25.0497327,121.5245698
node,4344543596,芝加哥Hotel,hotel,25.0505404,121.5264278
node,4344543611,4 Plus斯格加旅店,hotel,25.0494788,121.5244977
node,4358892192,馬槽花藝村,hotel,25.1889444,121.5692029
node,4375049638,西門街角,hostel,25.0430838,121.5068549
node,4380057593,明日大飯店,hotel,25.0426402,121.5070141
node,4384259013,東鑫商務旅館,hotel,25.0416604,121.5520795
node,4405771749,伸適商旅,hotel,25.0610384,121.5257527
node,4411493480,日暉酒店,hotel,25.0432966,121.5139054
node,4421420354,富裕自由商旅忠孝館,hotel,25.0418396,121.5537999
node,4432818424,蘋果Hotel,hotel,25.0063372,121.5061859
node,4436151958,三重大旅社,hotel,25.0707007,121.4950754
node,4436175212,沃客商旅-正義館,hotel,25.0604005,121.4980938
node,4452031690,丰居旅店,hotel,25.0434745,121.5429016
node,4483303089,天倫大旅社,hotel,25.0890083,121.5252404
node,4483316694,士林青年旅館,hostel,25.0878148,121.526443
node,4487080890,居久宿舍,hostel,25.0437651,121.5037246
node,4524863755,享樂文旅,hotel,25.043991,121.5025891
node,4524863757,Backpacker,hostel,25.0439984,121.503297
node,4524863831,天闊酒店,hotel,25.0536995,121.5443151
node,4524864046,谷墨商旅,hotel,25.0266158,121.5309129
node,4524864111,沐舍溫泉旅館,hotel,25.2153949,121.6434453
node,4524864129,千慧旅館,hotel,25.0524721,121.5199306
node,4524864143,啟文飯店,hotel,25.0571188,121.5103876
node,4524864490,Tango INN,hotel,25.0446449,121.5045055
node,4538275040,中信旅店,hotel,25.0141505,121.5180003
node,4588548489,旅游淘背包客棧,hostel,25.0622931,121.5319581
