listing_id,price,accommodates,bedrooms,beds,bathrooms,minimum_nights,amenities_count,instant_bookable,room_type_code,property_type_code,neighbourhood_code,latitude,longitude,host_is_superhost,host_response_rate,host_acceptance_rate,host_listings_count,host_tenure_days,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,review_scores_communication,review_scores_checkin,review_scores_accuracy,price_pctl_nbhd,score_pctl_nbhd,amenities_vs_median,nbr_density_1km,nbr_density_same_type_1km,self_checkin,response_speed,desc_len,host_about_len,maximum_nights,min_nights_avg_ntm,Y_vacancy,photo_width,photo_height,photo_brightness,photo_contrast,photo_sharpness,photo_colorfulness,photo_coziness,photo_design_sense,photo_cleanliness
49520247,2010.0,2,1.0,2.0,1.0,1,21,0,2,28,2,25.03172,121.56249,0,0.01,0.0,4,3164,4.78,4.78,5.0,4.67,4.83,4.67,4.89,0.5040953090096798,0.50625,0.875,386,95,1,0,296,411,7,1.0,0.0,1366,768,106.64555594954857,43.881621162366365,56.45995104132774,11.788048122220072,0.697634220123291,0.9420245289802552,0.9991164803504944
49598081,2010.0,2,1.0,2.0,1.0,1,14,0,2,28,11,25.045893,121.506737,0,0.009,0.0098999999999999,12,3388,4.67,4.78,5.0,4.78,5.0,4.89,4.78,0.5040953090096798,0.4822695035460992,0.6363636363636364,2020,275,0,4,508,367,1125,1.0,0.4493150684931506,1108,1478,108.2957449329028,74.18991312007685,68.00183119601893,30.879702578315417,0.6687936782836914,0.1104938313364982,0.95941561460495
49598256,2010.0,4,1.0,2.0,1.0,1,16,0,2,28,11,25.045893,121.506737,0,0.009,0.0098999999999999,12,3388,4.6,4.4,5.0,4.8,5.0,5.0,4.6,0.5040953090096798,0.400709219858156,0.7272727272727273,2020,275,0,4,1000,367,1125,1.0,0.684931506849315,1108,1478,110.1370332872503,60.19489566115834,182.5605418084185,13.27307557762026,0.3762537539005279,0.0554994158446788,0.9939125776290894
49598534,2010.0,3,1.0,2.0,1.0,1,15,0,2,28,11,25.045893,121.506737,0,0.009,0.0098999999999999,12,3388,4.0,3.0,5.0,4.0,5.0,5.0,3.0,0.5040953090096798,0.0638297872340425,0.6818181818181818,2020,275,0,4,672,367,1125,1.0,0.9506849315068492,1478,1108,129.68276356477432,45.85363317463632,22.590994609149245,24.64804105002819,0.4607168138027191,0.7674033045768738,0.9983141422271729
49705129,789.0,2,1.0,1.0,1.0,3,44,0,2,28,2,25.02612,121.56376,0,0.01,0.0069999999999999,8,3550,4.74,4.37,4.95,4.74,4.95,4.89,4.84,0.36,0.4375,1.8333333333333333,312,85,0,4,1000,971,1125,3.0,0.2410958904109589,4096,1799,144.38193812643308,63.49618015823323,152.37254949536285,60.2310087679871,0.0140281002968549,0.00609339075163,0.981586754322052
49849801,588.0,2,1.0,1.0,1.0,2,40,0,2,28,2,25.02555,121.56201,0,0.01,0.0069999999999999,8,3550,4.71,4.33,4.75,4.67,4.79,5.0,4.79,0.1142857142857142,0.409375,1.6666666666666667,360,111,0,4,1000,971,1125,2.1,0.1589041095890411,4032,3024,155.7051524313429,67.22166600737718,97.43493042851377,49.99107190027303,0.0322051718831062,0.0219874288886785,0.9671205282211304
49850094,641.0,1,1.0,1.0,1.5,3,42,0,2,28,2,25.02624,121.56267,0,0.01,0.0069999999999999,8,3550,4.54,4.38,4.58,4.62,4.85,4.65,4.81,0.1828571428571428,0.246875,1.75,351,102,0,4,1000,971,730,3.0,0.1808219178082191,4032,3024,150.64953003288508,70.70218380352661,87.09585764280746,47.35916839939871,0.0563758015632629,0.0051434058696031,0.9230009317398072
49854610,2010.0,2,1.0,2.0,1.0,1,25,0,2,38,0,25.05198,121.53384,0,0.0097,0.0096,10,2122,4.23,3.95,4.65,4.19,4.63,4.47,4.23,0.5040953090096798,0.0806451612903225,1.0869565217391304,246,61,0,4,452,16,365,1.1,1.0,3119,3024,151.26248831619142,31.948901259936257,35.07459030237758,34.27101307918869,0.9762758016586304,0.8694524168968201,0.998364508152008
49858745,1185.0,2,1.0,1.0,0.0,1,10,0,2,19,2,25.0321,121.56073,0,0.01,0.0087,13,1602,4.69,4.5,4.69,4.56,4.69,4.47,4.47,0.6171428571428571,0.365625,0.4166666666666667,408,96,0,4,614,0,1125,1.0,0.736986301369863,1170,912,146.40067757534862,64.79253943641902,1068.9704839875994,61.83156387358157,0.0879338681697845,0.5234950184822083,0.7853028178215027
49932015,5000.0,6,3.0,4.0,2.0,3,42,0,0,5,8,25.02758,121.54794,0,0.01,0.0084,5,4328,4.95,4.93,4.95,4.81,4.95,4.95,4.95,0.8227941176470588,0.7279179810725552,1.2727272727272727,381,221,0,3,496,217,180,3.0,0.8164383561643835,6192,4128,144.32713609427267,61.94249912583236,120.5347711637243,20.22952778293942,0.9550834894180298,0.96356862783432,0.9799418449401855
49978869,784.0,2,1.0,1.0,1.0,3,44,0,2,28,2,25.02448,121.56422,0,0.01,0.0069999999999999,8,3550,4.78,4.39,4.78,4.61,4.89,4.83,4.89,0.3428571428571428,0.50625,1.8333333333333333,257,80,0,4,1000,971,1125,3.0,0.2054794520547945,4032,3024,140.0261311459383,80.57110831128202,54.594162455645474,61.83445592822288,0.0019600219093263,0.0132182696834206,0.5575940608978271
49979233,573.0,2,1.0,1.0,1.0,3,41,0,2,28,2,25.02444,121.56451,0,0.01,0.0069999999999999,8,3550,4.7,4.55,4.85,4.9,5.0,4.85,4.9,0.1085714285714285,0.3875,1.7083333333333333,234,73,0,4,1000,971,1125,3.0,0.136986301369863,4032,3024,152.3185983691316,58.58243773884735,68.86584613082782,56.074888977063736,0.0762738585472107,0.0142971388995647,0.9919559955596924
50062582,693.0,1,1.0,1.0,1.0,3,46,0,2,28,2,25.02564,121.56283,0,0.01,0.0069999999999999,8,3550,4.87,4.52,4.65,4.7,4.87,4.83,4.91,0.2742857142857143,0.640625,1.9166666666666667,336,98,0,4,1000,971,1125,3.0,0.2328767123287671,4032,3024,160.02135364176536,58.46111912530915,66.73438205157046,23.13702280442505,0.0008876602514646,0.0021785041317343,0.979199469089508
50317203,2010.0,1,1.0,2.0,1.0,1,12,0,0,5,1,25.04493,121.50923,0,0.0097,0.0089,24,2785,5.0,5.0,4.0,4.5,5.0,5.0,5.0,0.5040953090096798,0.9191011235955056,0.4285714285714285,2159,1744,0,4,1000,725,1125,1.5,0.0,850,567,186.1229899367154,50.37337332213961,535.3722623918176,29.418253931604685,0.7204862236976624,0.9060556292533876,0.9984554052352904
50666432,4000.0,6,2.0,3.0,1.0,9,44,0,0,8,6,25.08473,121.52536,0,0.01,0.0079,1,2434,5.0,5.0,5.0,4.85,5.0,4.92,4.96,0.8177966101694916,0.9009433962264152,1.5172413793103448,117,70,1,3,128,0,500,8.7,0.6821917808219178,1170,777,128.04227854227855,50.94857382482679,298.1473748463572,24.11740767614652,0.7061476707458496,0.9530876874923706,0.9817020893096924
50744360,1707.0,5,3.0,3.0,4.5,30,28,0,2,19,2,25.0403,121.57074,0,0.01,0.0093999999999999,1,1553,3.0,4.0,5.0,3.0,3.0,5.0,2.0,0.76,0.009375,1.1666666666666667,335,94,0,0,462,0,365,30.0,1.0,2048,1536,106.2811991373698,54.43430036036572,156.9549382525531,20.555150276298868,0.0469591431319713,0.097314640879631,0.9896802306175232
50819704,2136.0,4,2.0,2.0,1.0,30,24,0,0,11,1,25.03493,121.52973,0,0.01,0.0098,4,2455,5.0,5.0,4.83,4.5,5.0,5.0,5.0,0.3970276008492569,0.9191011235955056,0.8571428571428571,236,123,0,3,505,31,90,30.0,0.1315068493150684,4032,3024,134.7478938334593,70.01647238026459,15.502767701095442,25.576367988346583,0.6376087665557861,0.8087631464004517,0.9759330153465272
50867256,2010.0,3,1.0,2.0,1.0,28,27,0,0,5,2,25.03512,121.57269,0,0.0092,0.0074,5,2195,4.0,4.0,4.5,4.0,4.5,4.5,3.5,0.5040953090096798,0.0195121951219512,0.7941176470588235,208,143,0,4,0,37,1125,28.0,0.9863013698630136,1478,1108,97.58459389945432,72.58085406655098,232.4674362067621,10.434824903042,0.7842047810554504,0.6901154518127441,0.978692591190338
50891610,1098.0,2,1.0,1.0,1.0,4,24,0,0,11,0,25.06688,121.52817,0,0.0089,0.0097,2,3618,4.34,4.17,4.48,4.21,4.79,4.66,4.38,0.0266666666666666,0.1116751269035533,0.96,284,231,1,4,244,28,365,4.0,0.4767123287671233,2880,2160,164.1460119277263,54.67920521861807,87.14566341875783,62.06051468489841,0.067614234983921,0.0549644567072391,0.9821406006813048
50995746,1800.0,3,2.0,2.0,1.0,30,23,0,0,11,5,25.04847,121.58153,0,0.01,0.01,1,1541,5.0,5.0,5.0,4.67,5.0,5.0,5.0,0.2692307692307692,0.8409090909090909,0.696969696969697,171,108,0,4,361,0,365,30.0,0.8465753424657534,4032,3024,125.4023865622638,46.27674963989398,118.04593692696076,27.137269401427968,0.0912040919065475,0.1467267870903015,0.9655293822288512
51154194,2010.0,4,2.0,2.0,1.0,30,8,0,0,11,1,25.02643,121.5219,0,0.01,0.0093999999999999,1,3520,4.83,4.77,4.9,4.76,4.94,4.9,4.85,0.5040953090096798,0.5060417206950207,0.2857142857142857,431,198,0,0,385,252,365,30.0,0.0,1282,984,107.1720753586241,54.69404326216208,135.5686670928861,44.50132746261265,0.9068647027015686,0.9409897327423096,0.955727219581604
51332469,1889.0,3,0.0,2.0,1.0,6,24,0,0,8,8,25.02482,121.53391,0,0.01,0.0089,2,4242,5.0,4.86,4.71,4.86,5.0,4.86,4.71,0.2191176470588235,0.8777602523659306,0.7272727272727273,424,203,0,3,0,638,180,6.0,0.5315068493150685,4032,3024,134.77684681607982,57.889252074777886,94.14337752859257,14.367507389729449,0.8275183439254761,0.2088238894939422,0.9934906959533693
51476471,995.0,2,1.0,2.0,1.0,28,33,0,2,19,11,25.03952,121.5024,0,0.01,0.0098999999999999,6,2533,4.5,3.5,4.5,4.0,5.0,5.0,4.5,0.2345679012345679,0.2163120567375886,1.5,1556,188,0,4,1000,0,365,28.0,0.2931506849315068,4032,2272,164.27305565161805,50.92516474489071,14.26688625617886,40.85694771717527,0.0625856891274452,0.094297781586647,0.9933555126190186
51476728,1006.0,3,1.0,2.0,1.0,28,35,0,0,11,8,25.04478,121.54369,0,0.01,0.0098999999999999,6,2533,4.84,4.84,4.88,4.6,4.88,4.72,4.8,0.0205882352941176,0.5,1.0606060606060606,418,360,0,4,1000,0,365,27.4,0.3315068493150685,3264,1836,112.1005541071276,57.725077434024215,94.78026674311135,38.07864707664744,0.1267659664154052,0.2753093242645263,0.9906883239746094
51476792,996.0,2,1.0,1.0,1.0,28,36,0,2,28,11,25.04182,121.50751,0,0.01,0.0098999999999999,6,2533,4.63,4.41,4.93,4.81,4.85,4.74,4.85,0.2407407407407407,0.4290780141843971,1.6363636363636365,1940,267,0,4,1000,0,365,13.4,0.3890410958904109,4032,2272,156.3290577885717,68.21771536631452,22.76691398388798,33.573149478690425,0.0481971949338912,0.5408755540847778,0.998824417591095
51476808,1111.0,1,1.0,1.0,1.0,28,37,0,2,28,11,25.03967,121.50387,0,0.01,0.0098999999999999,6,2533,4.78,4.56,4.89,4.86,4.92,4.92,4.92,0.3209876543209876,0.6205673758865248,1.681818181818182,1614,194,0,4,1000,0,365,26.1,0.3945205479452054,1704,960,174.34773388595465,63.44149430587616,82.19347908415781,36.53172241839407,0.0013936582254245,0.2179968804121017,0.999006450176239
51656837,4450.0,6,1.0,3.0,1.0,2,43,0,0,11,1,25.04744,121.51504,0,0.01,0.01,11,3615,4.61,4.58,4.89,4.61,4.83,4.81,4.67,0.8301486199575372,0.1404494382022472,1.5357142857142858,1461,1089,1,4,383,1440,30,2.0,0.0356164383561643,4032,2806,192.82578741062235,38.054793768841805,27.42837290908579,17.461646539374836,0.9813809394836426,0.9294871091842652,0.995967984199524
51878214,1190.0,1,1.0,1.0,1.0,6,6,0,2,28,8,25.03542,121.53548,0,0.0086,0.0029,2,2016,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.4935064935064935,0.787109375,0.2857142857142857,270,83,0,2,424,128,365,6.0,0.7671232876712328,3264,2448,84.86436206427015,62.75285597745219,95.5333628124888,40.45549759819751,0.800512969493866,0.110739842057228,0.9318439364433287
51896985,5658.0,10,0.0,0.0,1.0,1,6,0,0,5,0,25.05105,121.52424,0,0.01,0.01,3,4074,4.83,4.77,4.9,4.76,4.94,4.9,4.85,0.9466666666666668,0.5060417206950207,0.24,678,498,0,3,435,845,365,1.0,1.0,1706,960,132.29484234564282,44.83366398979142,485.8972405418273,14.346363160459411,0.0002332895237486,0.0397719256579875,0.9915140271186828
51964077,1431.0,2,1.0,1.0,4.0,1,52,0,2,24,1,25.045305,121.525238,0,0.0097,0.0052,13,3989,5.0,5.0,4.8,5.0,5.0,5.0,5.0,0.6306818181818182,0.8398058252427184,2.736842105263158,510,129,1,3,298,25,30,1.0,0.0383561643835616,5266,3510,136.15239649506643,58.8323376309948,634.8578059567129,34.7089793530436,0.2018632888793945,0.6174769997596741,0.9909508228302002
52097737,1887.0,2,1.0,1.0,1.0,5,34,0,0,5,6,25.09679,121.52438,0,0.01,0.0084,4,2450,4.89,4.94,4.83,4.83,5.0,5.0,4.94,0.4194915254237288,0.6462264150943396,1.1724137931034482,94,55,1,4,520,36,90,5.0,0.5589041095890411,1479,1109,160.6544865264286,59.95142853453476,1271.071120831214,35.62637830535972,0.6343203783035278,0.6749809384346008,0.9652401804924012
52181842,1061.0,2,1.0,1.0,2.0,2,24,0,2,28,1,25.04275,121.53157,0,0.01,0.0095,3,3696,4.78,4.8,4.9,4.69,4.92,4.8,4.84,0.4801136363636363,0.4660194174757281,1.263157894736842,185,58,1,4,858,0,120,2.0,0.6328767123287671,5760,3840,112.24057779947915,55.81572349811839,37.636789950814496,31.84451467222412,0.9170058369636536,0.9850513935089112,0.897154688835144
52182896,3887.0,6,0.0,4.0,1.0,2,43,0,0,5,1,25.04698,121.51462,0,0.01,0.01,11,3615,4.64,4.64,4.93,4.57,4.86,4.89,4.71,0.7813163481953291,0.1662921348314607,1.5357142857142858,1570,1187,1,4,393,1440,28,2.0,0.0383561643835616,4032,3024,155.83734062683715,59.14339389858369,133.77622595623333,26.582904970588125,0.937710702419281,0.956926703453064,0.9968382120132446
52252059,951.0,2,1.0,1.0,1.5,2,27,0,0,5,7,25.05042,121.51303,0,0.0,0.0,1,1478,4.71,4.29,4.71,4.71,4.86,4.71,4.71,0.0150943396226415,0.2116182572614107,0.84375,1401,1049,0,1,1000,0,365,2.0,0.4164383561643835,1478,1108,190.9860828859372,59.20680986451287,50.3718307726675,17.37983656915654,0.7088074088096619,0.7293605804443359,0.9990103244781494
52261003,1850.0,6,1.0,1.0,1.0,365,5,0,0,11,11,25.02477,121.49872,0,0.01,0.0093999999999999,2,3596,4.83,4.77,4.9,4.76,4.94,4.9,4.85,0.5026061057334326,0.5060417206950207,0.1851851851851851,32,25,0,0,375,0,730,365.0,1.0,1452,1128,118.1200722163609,68.67141687320229,227.199339254928,9.962766258484082,0.0101235480979084,0.4584632813930511,0.9950675964355468
52330428,1500.0,4,1.0,1.0,1.0,365,2,0,0,11,11,25.025362,121.499802,0,0.01,0.0093999999999999,2,3596,4.83,4.77,4.9,4.76,4.94,4.9,4.85,0.3313477289650037,0.5060417206950207,0.074074074074074,35,26,0,0,221,0,1125,365.0,1.0,1125,2436,110.67342127349023,49.581544533631664,304.5312255322387,17.233210131912735,0.004732506815344,0.0117603624239563,0.2057378143072128
52339848,2010.0,2,1.0,2.0,1.0,5,43,0,2,31,8,25.04252,121.53484,0,0.0,0.0,1,4038,4.82,4.88,4.94,4.85,4.82,4.88,4.82,0.5040953090096798,0.38671875,2.0476190476190474,241,47,0,1,322,513,180,5.0,0.9972602739726028,3455,2417,190.75568042813,46.84459515044053,85.10271020508402,17.73801887059648,0.9425281286239624,0.23765230178833,0.8646557331085205
